Date : 2022-05-06 22:34:43
Directory : g:\Project\MiniProgram\tanei
Total : 154 files,  22974 codes, 771 comments, 1386 blanks, all 25131 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\7.js                                            | JavaScript |        104 |          1 |         13 |        118 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\@babel\runtime\helpers\defineProperty.js        | JavaScript |         14 |          0 |          1 |         15 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\@babel\runtime\helpers\interopRequireDefault.js | JavaScript |          6 |          0 |          1 |          7 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\navigation-bar\navigation-bar.js                | JavaScript |         56 |          0 |          0 |         56 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\navigation-bar\navigation-bar.json              | JSON       |          4 |          0 |          0 |          4 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\navigation-bar\navigation-bar.wxml              | wxml       |         17 |          0 |          1 |         18 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\navigation-bar\navigation-bar.wxss              | wxss       |         71 |          0 |         15 |         86 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\audio\audio.js                           | JavaScript |         72 |          0 |          0 |         72 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\audio\audio.json                         | JSON       |          4 |          0 |          0 |          4 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\audio\audio.wxml                         | wxml       |         13 |          0 |          1 |         14 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\audio\audio.wxss                         | wxss       |         72 |          0 |         10 |         82 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\parser.js                                | JavaScript |        141 |          0 |          2 |        143 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\parser.json                              | JSON       |          6 |          0 |          0 |          6 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\parser.wxml                              | wxml       |          2 |          0 |          1 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\parser.wxss                              | wxss       |         19 |          0 |          4 |         23 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\trees\trees.js                           | JavaScript |         94 |          1 |          1 |         96 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\trees\trees.json                         | JSON       |          7 |          0 |          0 |          7 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\trees\trees.wxml                         | wxml       |         63 |          0 |          0 |         63 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\algorithm\components\parser\trees\trees.wxss                         | wxss       |        207 |          0 |         53 |        260 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\bug\bug.js                                                           | JavaScript |         29 |         20 |          1 |         50 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\bug\bug.json                                                         | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\bug\bug.wxml                                                         | wxml       |         38 |          0 |          1 |         39 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\bug\bug.wxss                                                         | wxss       |          1 |          0 |          0 |          1 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\discover\discover.js                                                 | JavaScript |         85 |          7 |          0 |         92 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\discover\discover.json                                               | JSON       |          4 |          0 |          0 |          4 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\discover\discover.wxml                                               | wxml       |         59 |          0 |          4 |         63 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\discover\discover.wxss                                               | wxss       |        273 |          0 |         50 |        323 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\log\log.js                                                           | JavaScript |          6 |          0 |          0 |          6 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\log\log.json                                                         | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\log\log.wxml                                                         | wxml       |        114 |          0 |          0 |        114 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\log\log.wxss                                                         | wxss       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\nlp\nlp.js                                                           | JavaScript |        412 |         14 |          7 |        433 |
